t, 1, 2, 3, 4, 5
0.0,0.0,0.0,0.0,0.0,0.0
0.125,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0,0.0
0.375,0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0,0.0
0.625,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0
0.875,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.125,0.0,0.0,0.0,0.0,0.0
1.25,0.0,0.0,0.0,0.0,0.0
1.375,0.0,0.0,0.0,0.0,0.0
1.5,0.0,0.0,0.0,0.0,0.0
1.625,0.0,0.0,0.0,0.0,0.0
1.75,0.0,0.0,0.0,0.0,0.0
1.875,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0
2.125,0.0,0.0,0.0,0.0,0.0
2.25,0.0,0.0,0.0,0.0,0.0
2.375,0.0,0.0,0.0,0.0,0.0
2.5,0.0,0.0,0.0,0.0,0.0
2.625,0.0,0.0,0.0,0.0,0.0
2.75,0.0,0.0,0.0,0.0,0.0
2.875,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0
3.125,0.0,0.0,0.0,0.0,0.0
3.25,0.0,0.0,0.0,0.0,0.0
3.375,0.0,0.0,0.0,0.0,0.0
3.5,0.0,0.0,0.0,0.0,0.0
3.625,0.0,0.0,0.0,0.0,0.0
3.75,0.0,0.0,0.0,0.0,0.0
3.875,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0
4.125,0.0,0.0,0.0,0.0,0.0
4.25,0.0,0.0,0.0,0.0,0.0
4.375,0.0,0.0,0.0,0.0,0.0
4.5,0.0,0.0,0.0,0.0,0.0
4.625,0.0,0.0,0.0,0.0,0.0
4.75,0.0,0.0,0.0,0.0,0.0
4.875,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0,0.0
5.125,0.0,0.0,0.0,0.0,0.0
5.25,0.0,0.0,0.0,0.0,0.0
5.375,0.0,0.0,0.0,0.0,0.0
5.5,0.0,0.0,0.0,0.0,0.0
5.625,0.0,0.0,0.0,0.0,0.0
5.75,0.0,0.0,0.0,0.0,0.0
5.875,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,0.0
6.125,0.0,0.0,0.0,0.0,0.0
6.25,0.0,0.0,0.0,0.0,0.0
6.375,0.0,0.0,0.0,0.0,0.0
6.5,0.0,0.0,0.0,0.0,0.0
6.625,0.0,0.0,0.0,0.0,0.0
6.75,0.0,0.0,0.0,0.0,0.0
6.875,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0
7.125,0.0,0.0,0.0,0.0,0.0
7.25,0.0,0.0,0.0,0.0,0.0
7.375,0.0,0.0,0.0,0.0,0.0
7.5,0.0,0.0,0.0,0.0,0.0
7.625,0.0,0.0,0.0,0.0,0.0
7.75,0.0,0.0,0.0,0.0,0.0
7.875,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0
8.125,0.0,0.0,0.0,0.0,0.0
8.25,0.0,0.0,0.0,0.0,0.0
8.375,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0
8.625,0.0,0.0,0.0,0.0,0.0
8.75,0.0,0.0,0.0,0.0,0.0
8.875,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0
9.125,0.0,0.0,0.0,0.0,0.0
9.25,0.0,0.0,0.0,0.0,0.0
9.375,0.0,0.0,0.0,0.0,0.0
9.5,0.0,0.0,0.0,0.0,0.0
9.625,0.0,0.0,0.0,0.0,0.0
9.75,1.0,0.0,0.0,0.0,0.0
9.875,0.991701292639,0.0,0.0,0.0,0.0
10.0,0.983471453822,0.0,0.0,0.0,0.0
10.125,0.975309912028,0.0,0.0,0.0,0.0
10.25,0.967216100482,0.0,0.0,0.0,0.0
10.375,0.959189457109,0.0,0.0,0.0,0.0
10.5,0.951229424501,0.0,0.0,0.0,0.0
10.625,0.943335449873,0.0,0.0,0.0,0.0
10.75,0.935506985032,0.0,0.0,0.0,0.0
10.875,0.927743486329,0.0,0.0,0.0,0.0
11.0,0.920044414629,0.0,0.0,0.0,0.0
11.125,0.912409235273,0.0,0.0,0.0,0.0
11.25,0.904837418036,0.0,0.0,0.0,0.0
11.375,0.897328437094,0.0,0.0,0.0,0.0
11.5,0.889881770988,0.0,0.0,0.0,0.0
11.625,0.882496902585,0.0,0.0,0.0,0.0
11.75,0.875173319043,0.0,0.0,0.0,0.0
11.875,0.867910511778,0.0,0.0,0.0,0.0
12.0,0.860707976425,0.0,0.0,0.0,0.0
12.125,0.853565212805,0.0,0.0,0.0,0.0
12.25,0.846481724891,0.0,0.0,0.0,0.0
12.375,0.839457020769,0.0,0.0,0.0,0.0
12.5,0.832490612612,0.0,0.0,0.0,0.0
12.625,0.825582016637,0.0,0.0,0.0,0.0
12.75,0.818730753078,0.0,0.0,0.0,0.0
12.875,0.811936346151,0.0,0.0,0.0,0.0
13.0,0.805198324018,0.0,0.0,0.0,0.0
13.125,0.798516218759,0.0,0.0,0.0,0.0
13.25,0.791889566337,0.0,0.0,0.0,0.0
13.375,0.785317906563,0.0,0.0,0.0,0.0
13.5,0.778800783071,0.0,0.0,0.0,0.0
13.625,0.77233774328,0.0,0.0,0.0,0.0
13.75,0.765928338365,0.0,0.0,0.0,0.0
13.875,0.759572123225,0.0,0.0,0.0,0.0
14.0,0.753268656455,0.0,0.0,0.0,0.0
14.125,0.74701750031,0.0,0.0,0.0,0.0
14.25,0.740818220682,0.0,0.0,0.0,0.0
14.375,0.73467038706,0.0,0.0,0.0,0.0
14.5,0.728573572511,0.0,0.0,0.0,0.0
14.625,0.722527353642,0.0,0.0,0.0,0.0
14.75,0.716531310574,0.0,0.0,0.0,0.0
14.875,0.710585026912,0.0,0.0,0.0,0.0
15.0,0.704688089719,0.0,0.0,0.0,0.0
15.125,0.698840089481,0.0,0.0,0.0,0.0
15.25,0.693040620086,0.0,0.0,0.0,0.0
15.375,0.687289278791,0.0,0.0,0.0,0.0
15.5,0.681585666194,0.0,0.0,0.0,0.0
15.625,0.675929386209,0.0,0.0,0.0,0.0
15.75,0.670320046036,0.0,0.0,0.0,0.0
15.875,0.664757256135,0.0,0.0,0.0,0.0
16.0,0.6592406302,0.0,0.0,0.0,0.0
16.125,0.65376978513,0.0,0.0,0.0,0.0
16.25,0.648344341002,0.0,0.0,0.0,0.0
16.375,0.642963921046,0.0,0.0,0.0,0.0
16.5,0.637628151622,0.0,0.0,0.0,0.0
16.625,0.632336662186,0.0,0.0,0.0,0.0
16.75,0.627089085273,0.0,0.0,0.0,0.0
16.875,0.621885056465,0.0,0.0,0.0,0.0
17.0,0.616724214369,0.0,0.0,0.0,0.0
17.125,0.611606200592,0.0,0.0,0.0,0.0
17.25,0.606530659713,0.0,0.0,0.0,0.0
17.375,0.601497239262,0.0,0.0,0.0,0.0
17.5,0.596505589695,0.0,0.0,0.0,0.0
17.625,0.591555364367,0.0,0.0,0.0,0.0
17.75,0.58664621951,0.0,0.0,0.0,0.0
17.875,0.58177781421,0.0,0.0,0.0,0.0
18.0,0.57694981038,0.0,0.0,0.0,0.0
18.125,0.572161872742,0.0,0.0,0.0,0.0
18.25,0.567413668797,0.0,0.0,0.0,0.0
18.375,0.562704868807,0.0,0.0,0.0,0.0
18.5,0.55803514577,0.0,0.0,0.0,0.0
18.625,0.553404175398,0.0,0.0,0.0,0.0
18.75,0.548811636094,0.0,0.0,0.0,0.0
18.875,0.54425720893,0.0,0.0,0.0,0.0
19.0,0.539740577624,0.0,0.0,0.0,0.0
19.125,0.535261428519,0.0,0.0,0.0,0.0
19.25,0.530819450562,0.0,0.0,0.0,0.0
19.375,0.52641433528,0.0,0.0,0.0,0.0
19.5,0.522045776761,0.0,0.0,1.0,0.0
19.625,0.517713471631,0.0,0.0,0.991701292639,0.0
19.75,0.513417119033,0.0,0.0,0.983471453822,0.0
19.875,0.509156420608,0.0,0.0,0.975309912028,0.0
20.0,0.504931080472,0.0,0.0,0.967216100482,0.0
20.125,0.500740805198,0.0,0.0,0.959189457109,0.0
20.25,0.496585303791,0.0,0.0,0.951229424501,0.0
20.375,0.492464287675,0.0,0.0,0.943335449873,0.0
20.5,0.488377470666,0.0,0.0,0.935506985032,0.0
20.625,0.484324568955,0.0,0.0,0.927743486329,0.0
20.75,0.48030530109,0.0,0.0,0.920044414629,0.0
20.875,0.476319387952,0.0,0.0,0.912409235273,0.0
21.0,0.472366552741,0.0,0.0,0.904837418036,0.0
21.125,0.468446520953,0.0,0.0,0.897328437094,0.0
21.25,0.464559020361,0.0,0.0,0.889881770988,0.0
21.375,0.460703780999,0.0,0.0,0.882496902585,0.0
21.5,0.45688053514,0.0,0.0,0.875173319043,0.0
21.625,0.45308901728,0.0,0.0,0.867910511778,0.0
21.75,0.449328964117,0.0,0.0,0.860707976425,0.0
21.875,0.445600114535,0.0,0.0,0.853565212805,0.0
22.0,0.441902209585,0.0,0.0,0.846481724891,0.0
22.125,0.438234992465,0.0,0.0,0.839457020769,0.0
22.25,0.434598208507,0.0,0.0,0.832490612612,0.0
22.375,0.430991605155,0.0,0.0,0.825582016637,0.0
22.5,0.427414931949,0.0,0.0,0.818730753078,0.0
22.625,0.423867940507,0.0,0.0,0.811936346151,0.0
22.75,0.420350384509,0.0,0.0,0.805198324018,0.0
22.875,0.416862019679,0.0,0.0,0.798516218759,0.0
23.0,0.413402603767,0.0,0.0,0.791889566337,0.0
23.125,0.409971896536,0.0,0.0,0.785317906563,0.0
23.25,0.406569659741,0.0,0.0,0.778800783071,0.0
23.375,0.403195657113,0.0,0.0,0.77233774328,0.0
23.5,0.399849654345,0.0,0.0,0.765928338365,0.0
23.625,0.396531419075,0.0,0.0,0.759572123225,0.0
23.75,0.393240720869,0.0,0.0,0.753268656455,0.0
23.875,0.389977331204,0.0,0.0,0.74701750031,0.0
24.0,0.386741023455,0.0,0.0,0.740818220682,0.0
24.125,0.383531572876,0.0,0.0,0.73467038706,0.0
24.25,0.380348756589,0.0,0.0,0.728573572511,0.0
24.375,0.377192353563,0.0,0.0,0.722527353642,0.0
24.5,0.374062144602,0.0,0.0,0.716531310574,0.0
24.625,0.370957912329,0.0,0.0,0.710585026912,0.0
