t, 1, 2, 3, 4, 5
0.0,0.0,0.0,0.0,0.0,0.0
0.125,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0,0.0
0.375,0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0,0.0
0.625,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0
0.875,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.125,0.0,0.0,0.0,0.0,0.0
1.25,0.0,0.0,0.0,0.0,0.0
1.375,0.0,0.0,0.0,0.0,0.0
1.5,0.0,0.0,0.0,0.0,0.0
1.625,0.0,0.0,0.0,0.0,0.0
1.75,0.0,0.0,0.0,0.0,0.0
1.875,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0
2.125,0.0,0.0,0.0,0.0,0.0
2.25,0.0,0.0,0.0,0.0,0.0
2.375,0.0,0.0,0.0,0.0,0.0
2.5,0.0,0.0,0.0,0.0,0.0
2.625,0.0,0.0,0.0,0.0,0.0
2.75,0.0,0.0,0.0,0.0,0.0
2.875,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0
3.125,0.0,0.0,0.0,0.0,0.0
3.25,0.0,0.0,0.0,0.0,0.0
3.375,0.0,0.0,0.0,0.0,0.0
3.5,0.0,0.0,0.0,0.0,0.0
3.625,0.0,0.0,0.0,0.0,0.0
3.75,0.0,0.0,0.0,0.0,0.0
3.875,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0
4.125,0.0,0.0,0.0,0.0,0.0
4.25,0.0,0.0,0.0,0.0,0.0
4.375,0.0,0.0,0.0,0.0,0.0
4.5,0.0,0.0,0.0,0.0,0.0
4.625,0.0,0.0,0.0,0.0,0.0
4.75,0.0,0.0,0.0,0.0,0.0
4.875,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0,0.0
5.125,0.0,0.0,0.0,0.0,0.0
5.25,0.0,0.0,0.0,0.0,0.0
5.375,0.0,0.0,0.0,0.0,0.0
5.5,0.0,0.0,0.0,0.0,0.0
5.625,0.0,0.0,0.0,0.0,0.0
5.75,0.0,0.0,0.0,0.0,0.0
5.875,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,0.0
6.125,0.0,0.0,0.0,0.0,0.0
6.25,0.0,0.0,0.0,0.0,0.0
6.375,0.0,0.0,0.0,0.0,0.0
6.5,0.0,0.0,0.0,0.0,0.0
6.625,0.0,0.0,0.0,0.0,0.0
6.75,0.0,0.0,0.0,0.0,0.0
6.875,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0
7.125,0.0,0.0,0.0,0.0,0.0
7.25,0.0,0.0,0.0,0.0,0.0
7.375,0.0,0.0,0.0,0.0,0.0
7.5,0.0,0.0,0.0,0.0,0.0
7.625,0.0,0.0,0.0,0.0,0.0
7.75,0.0,0.0,0.0,0.0,0.0
7.875,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0
8.125,0.0,0.0,0.0,0.0,0.0
8.25,0.0,0.0,0.0,0.0,0.0
8.375,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0
8.625,0.0,0.0,0.0,0.0,0.0
8.75,0.0,0.0,0.0,0.0,0.0
8.875,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0
9.125,0.0,0.0,0.0,0.0,0.0
9.25,0.0,0.0,0.0,0.0,0.0
9.375,0.0,0.0,0.0,0.0,0.0
9.5,0.0,0.0,0.0,0.0,0.0
9.625,0.0,0.0,0.0,0.0,0.0
9.75,0.0,0.0,0.0,0.0,0.0
9.875,0.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0,0.0
10.125,0.0,0.0,0.0,0.0,0.0
10.25,0.0,0.0,0.0,0.0,0.0
10.375,0.0,0.0,0.0,0.0,0.0
10.5,0.0,0.0,0.0,0.0,0.0
10.625,0.0,0.0,0.0,0.0,0.0
10.75,0.0,0.0,0.0,0.0,0.0
10.875,0.0,0.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0,0.0,0.0
11.125,0.0,0.0,0.0,0.0,0.0
11.25,0.0,0.0,0.0,0.0,0.0
11.375,0.0,0.0,0.0,0.0,0.0
11.5,0.0,0.0,0.0,0.0,0.0
11.625,0.0,0.0,0.0,0.0,0.0
11.75,0.0,0.0,0.0,0.0,0.0
11.875,0.0,0.0,0.0,0.0,0.0
12.0,0.0,0.0,0.0,0.0,0.0
12.125,0.0,0.0,0.0,0.0,0.0
12.25,0.0,0.0,0.0,0.0,0.0
12.375,0.0,0.0,0.0,0.0,0.0
12.5,0.0,0.0,-0.75,0.0,0.0
12.625,0.0,0.0,-0.743775969479,0.0,0.0
12.75,0.0,0.0,-0.737603590366,0.0,0.0
12.875,0.0,0.0,-0.731482434021,0.0,0.0
13.0,0.0,0.0,-0.725412075362,0.0,0.0
13.125,0.0,0.0,-0.719392092832,0.0,0.0
13.25,0.0,0.0,-0.713422068376,0.0,0.0
13.375,0.0,0.0,-0.707501587405,0.0,0.0
13.5,0.0,0.0,-0.701630238774,-1.0,0.0
13.625,0.0,0.0,-0.695807614746,-0.991701292639,0.0
13.75,0.0,0.0,-0.690033310972,-0.983471453822,0.0
13.875,0.0,0.0,-0.684306926455,-0.975309912028,0.0
14.0,0.0,0.0,-0.678628063527,-0.967216100482,0.0
14.125,0.0,0.0,-0.672996327821,-0.959189457109,0.0
14.25,0.0,0.0,-0.667411328241,-0.951229424501,0.0
14.375,0.0,0.0,-0.661872676938,-0.943335449873,0.0
14.5,0.0,0.0,-0.656379989282,-0.935506985032,0.0
14.625,0.0,0.0,-0.650932883833,-0.927743486329,0.0
14.75,0.0,0.0,-0.645530982319,-0.920044414629,0.0
14.875,0.0,0.0,-0.640173909604,-0.912409235273,0.0
15.0,0.0,0.0,-0.634861293668,-0.904837418036,0.0
15.125,0.0,0.0,-0.629592765577,-0.897328437094,0.0
15.25,0.0,0.0,-0.624367959459,-0.889881770988,0.0
15.375,0.0,0.0,-0.619186512477,-0.882496902585,0.0
15.5,0.0,0.0,-0.614048064808,-0.875173319043,0.0
15.625,0.0,0.0,-0.608952259613,-0.867910511778,0.0
15.75,0.0,0.0,-0.603898743014,-0.860707976425,0.0
15.875,0.0,0.0,-0.59888716407,-0.853565212805,0.0
16.0,0.0,0.0,-0.593917174753,-0.846481724891,0.0
16.125,0.0,0.0,-0.588988429923,-0.839457020769,0.0
16.25,0.0,0.0,-0.584100587304,-0.832490612612,0.0
16.375,0.0,0.0,-0.57925330746,-0.825582016637,0.0
16.5,0.0,0.0,-0.574446253773,-0.818730753078,0.0
16.625,0.0,0.0,-0.569679092419,-0.811936346151,0.0
16.75,0.0,0.0,-0.564951492341,-0.805198324018,0.0
16.875,0.0,0.0,-0.560263125233,-0.798516218759,0.0
17.0,0.25,0.0,-0.555613665511,-0.791889566337,0.0
17.125,0.24792532316,0.0,-0.551002790295,-0.785317906563,0.0
17.25,0.245867863455,0.0,-0.546430179384,-0.778800783071,0.0
17.375,0.243827478007,0.0,-0.541895515232,-0.77233774328,0.0
17.5,0.241804025121,0.0,-0.53739848293,-0.765928338365,0.0
17.625,0.239797364277,0.0,-0.532938770184,-0.759572123225,0.0
17.75,0.237807356125,0.0,-0.528516067289,-0.753268656455,0.0
17.875,0.235833862468,0.0,-0.524130067111,-0.74701750031,0.0
18.0,0.233876746258,0.75,-0.519780465065,-0.740818220682,-0.875
18.125,0.231935871582,0.743775969479,-0.515466959093,-0.73467038706,-0.867738631059
18.25,0.230011103657,0.737603590366,-0.511189249645,-0.728573572511,-0.860537522094
18.375,0.228102308818,0.731482434021,-0.506947039656,-0.722527353642,-0.853396173025
18.5,0.226209354509,0.725412075362,-0.502740034527,-0.716531310574,-0.846314087922
18.625,0.224332109274,0.719392092832,-0.498567942101,-0.710585026912,-0.83929077497
18.75,0.222470442747,0.713422068376,-0.49443047265,-0.704688089719,-0.832325746438
18.875,0.220624225646,0.707501587405,-0.490327338847,-0.698840089481,-0.825418518639
19.0,-0.406206670239,0.701630238774,-0.486258255751,-0.693040620086,-0.818568611903
19.125,-0.402835679955,0.695807614746,-0.482222940785,-0.687289278791,-0.811775550537
19.25,-0.399492664532,0.690033310972,-0.478221113716,-0.681585666194,-0.805038862801
19.375,-0.396177391816,0.684306926455,-0.47425249664,-0.675929386209,-0.798358080864
19.5,-0.392889631579,0.678628063527,-0.470316813955,-0.670320046036,-0.791732740781
19.625,-0.389629155501,0.672996327821,-0.466413792349,-0.664757256135,-0.785162382457
19.75,-0.38639573716,0.667411328241,-0.462543160777,-0.6592406302,-0.778646549615
19.875,-0.383189152012,0.661872676938,-0.458704650444,-0.65376978513,-0.772184789762
20.0,-0.380009177375,0.656379989282,-0.454897994784,-0.648344341002,-0.765776654163
20.125,-0.376855592418,0.650932883833,-0.451122929447,-0.642963921046,-0.759421697806
20.25,-0.373728178139,0.645530982319,-0.447379192271,-0.637628151622,-0.753119479372
20.375,-0.370626717356,0.640173909604,-0.443666523275,-0.632336662186,-0.746869561205
20.5,-0.367550994688,0.634861293668,-0.439984664633,-0.627089085273,-0.740671509279
20.625,-0.364500796543,0.629592765577,-0.436333360657,-0.621885056465,-0.734524893173
20.75,-0.3614759111,0.624367959459,-0.432712357785,-0.616724214369,-0.728429286035
20.875,-0.358476128295,0.619186512477,-0.429121404557,-0.611606200592,-0.722384264557
21.0,-0.355501239811,0.614048064808,-0.425560251598,-0.606530659713,-0.716389408943
21.125,-0.352551039055,0.608952259613,-0.422028651605,-0.601497239262,-0.710444302882
21.25,-0.349625321152,0.603898743014,-0.418526359328,-0.596505589695,-0.704548533516
21.375,-0.346723882926,0.59888716407,-0.415053131549,-0.591555364367,-0.698701691414
21.5,-0.343846522886,0.593917174753,-0.411608727071,-0.58664621951,-0.692903370545
21.625,-0.340993041216,0.588988429923,-0.408192906697,-0.58177781421,-0.687153168243
21.75,-0.338163239754,0.584100587304,-0.404805433218,-0.57694981038,-0.681450685187
21.875,-0.335356921987,0.57925330746,-0.401446071389,-0.572161872742,-0.67579552537
22.0,-0.33257389303,0.574446253773,-0.398114587922,-0.567413668797,-0.670187296069
22.125,-0.329813959616,0.569679092419,-0.39481075146,-0.562704868807,-0.664625607822
